"","Sample ID_y","Sample ID_x","RCbray"
"252",215,120,-1
"253",231,120,-1
"254",436,120,-0.96
"255",108,120,-1
"256",35,120,-1
"257",226,120,-1
"258",152,120,0.99
"259",10,120,-1
"260",72,120,-1
"261",199,120,-1
"262",442,120,-1
"263",181,120,-1
"264",150,120,-1
"265",185,120,-1
"266",206,120,-1
"267",129,120,-1
"268",730,120,0.53
"269",17,120,-1
"270",86,120,0.9
"271",0,120,1
"272",538,120,-1
"273",360,120,0.51
"274",56,120,1
"275",218,120,0.59
"276",185,120,-1
"277",207,120,-1
"278",55,120,1
"279",101,120,1
"280",38,120,1
"281",70,120,-1
"282",43,120,1
"283",74,120,-1
"284",114,120,-1
"285",288,120,-1
"286",133,120,-0.99
"287",18,120,-1
"288",51,120,-1
"289",430,120,-0.83
"290",119,120,0.92
"291",198,120,-1
"292",10,120,-1
"293",131,120,-1
"294",56,120,-1
"295",123,120,-0.59
"296",308,120,-1
"297",41,120,1
"298",87,120,-0.98
"299",96,120,-0.98
"300",14,120,-1
"301",101,120,0.98
"302",185,120,-0.22
"303",0,120,1
"304",245,120,-0.4
"305",209,120,-0.18
"306",274,120,-1
"307",178,120,0.8
"308",79,120,-1
"309",38,120,-0.86
"310",218,120,-0.86
"311",89,120,-1
"312",510,120,0.1
"313",79,120,1
"314",239,120,-0.97
"315",285,120,-1
"316",64,120,-1
"317",1044,120,-0.53
"318",63,120,-1
"319",51,120,-1
"320",0,120,-1
"321",229,120,-1
"322",297,120,-1
"323",150,120,-1
"324",225,120,-0.98
"325",572,120,-0.9
"326",71,120,-0.79
"327",480,120,-1
"328",231,120,-1
"329",340,120,-0.99
"330",204,120,-1
"331",375,120,-1
"332",325,120,-1
"333",77,120,-1
"334",274,120,-0.87
"335",185,120,0.92
"336",114,120,1
"337",274,120,-1
"338",171,120,0.65
"339",404,120,0.95
"340",134,120,-1
"341",203,120,-1
"342",90,120,-1
"343",22,60,-1
"344",120,60,-1
"345",60,60,0
"346",163,60,-1
"347",134,60,-0.76
"348",211,60,-0.87
"349",72,60,-1
"350",22,60,-1
"351",241,60,-0.98
"352",73,60,-0.91
"353",13,60,1
"354",275,60,0.44
"355",106,60,-1
"356",126,60,-0.24
"357",163,60,-1
"358",107,60,-0.59
"359",111,60,-1
"360",95,60,-1
"361",117,60,-1
"362",82,60,-1
"363",110,60,-0.94
"364",102,60,0.92
"365",341,60,-0.99
"366",230,60,-1
"367",271,60,-0.97
"368",61,60,-0.08
"369",108,60,-0.83
"370",73,60,-1
"371",212,60,-1
"372",544,60,-0.99
"373",106,60,-0.99
"374",71,60,-0.96
"375",221,60,-1
