"","dim1","dim2","dim3","n0","BG","NAG","AP","LAP","tmmn_lt","ph","pr_lt","soil_moisture_lt","height","Total_Bacteria_AB_g","TotalAB","koppen_clim","Sample"
"25",-0.281261417037871,0.108203946228865,0.0347671820569634,453,4.62909444102836,4.02700789169116,6.08456450298411,1.28830282576763,0.81,490,101.35,0.4180112,110,70577777.7777778,18.0722259047297,"Continental hot summer","184"
"26",-0.0781032407311244,0.0893791128285002,0.0140187267366243,451,6.47119328630201,6.28686767720607,7.05815347188579,3.00654142709751,2.073333333,620,50.71666667,0.30546784,126,9587878.78787879,16.0760103366896,"Continental hot summer","029"
"27",0.034281401913447,0.118114560232957,0.16480742280073,451,5.29163007889915,5.51584801696478,7.73046857721988,2.56799981776529,3.506666667,570,104.9666667,0.24597365,1365,83200000,18.2367579178107,"Temperate","195"
"28",-0.257248675779511,0.0953167855432132,0.099672035870465,446,4.25857068417055,4.00767250747435,6.37670900300973,2.38443414470697,0.661666667,500,91.5,0.378888598,2,46845360.8247423,17.6623625612087,"Continental hot summer","050"
"29",-0.0383058064929182,0.0862747747737604,-0.381339265076686,438,3.52612610655416,4.91549068531763,7.90390383227019,3.80428356748831,3.621666667,560,67.6,0.41535872,165,63215686.2745098,17.9620630446853,"Temperate","001"
"30",-0.125346729107581,0.319452755008317,0.0500909936029426,437,4.36687778533021,3.9546551463085,7.58712118703854,2.40681532332,3.801666667,580,106.8833333,0.25665691,1044,45724770.6422018,17.6381507580724,"Temperate","173"
"31",0.220557210006506,0.106644819197943,-0.199020505206005,433,5.73152961644316,6.02399267754735,8.28258850878686,4.21449437100818,6.623333333,470,121.4666667,0.39827046,211,137913043.478261,18.7421339320408,"Temperate","039"
"32",-0.0738790048847241,0.0413327461221082,0.192090102975713,429,7.16399673959131,7.48047335074496,7.83327002572863,2.81727484120571,3.446666667,440,49.3,0.33589542,59,7654901.96078431,15.8508569104141,"Continental hot summer","128"
"33",-0.00432729431896173,-0.013866657878573,0.0520342540958618,424,6.56421271280404,6.37541780324736,7.58915318180883,4.53854638517868,1.49,480,67.26666667,0.396933,198,96103896.1038961,18.3809404257083,"Continental hot summer","024"
"34",-0.281855610168558,0.124756527306738,0.0617243625125934,421,4.41178130826536,1.10714445466472,6.60665770765642,1.89952038756283,-1.543333333,480,49.36666667,0.47881067,70,23921568.627451,16.9902911047705,"Continental cold/Tundra","020"
"35",-0.144274706346395,0.0996910007647738,0.134486812479607,414,6.66936429359791,5.12906226164325,7.73062771550945,2.74615152579445,3.395,460,49.43333333,0.33850226,48,76413793.1034483,18.1516737889316,"Continental hot summer","126"
"36",-0.262760358600265,-0.0789031454387382,0.0370519850221501,404,2.80971729526835,3.11912764256301,6.38663790133477,2.51234346515202,-2.728333333,470,76.65,0.431778001,111,15245283.0188679,16.5397807685273,"Continental cold/Tundra","136"
"37",0.265769662872095,0.131725761301786,-0.0305859020025505,400,5.93829740711521,5.95060712018917,8.02725627945287,3.62506918027325,3.325,570,104.2833333,0.28195915,1604,48470588.2352941,17.6964677644486,"Temperate","202"
"38",0.038012875204056,-0.0408018320425249,0.176910550869444,392,5.0780723778395,3.14313881011404,6.55110629756352,3.69074011176637,3.55,518.6274293,108.85,0.451603562,4,2.4e+07,16.9935644299789,"Continental hot summer","183"
"39",0.105422246835815,-0.0828916848412845,-0.0127274173532448,390,3.7414034839608,3.98801760841704,7.52448832832346,2.96332970783729,-4.015,520,47.9,0.3216636,188,15901234.5679012,16.5819073728443,"Continental cold/Tundra","210"
"40",0.344030586832835,0.211090347022512,0.0418503362884173,389,3.5459189767753,3.40231059148079,7.56164593174746,2.99057956864173,13.14166667,510,92.71666667,0.546479334,937,62888888.8888889,17.9568800747323,"Temperate","159"
"41",-0.250893621620381,0.187580902617872,-0.115608887108953,386,6.17771220396651,4.17633138318983,7.18781935579866,1.07939112193097,3.235,580,61.5,0.33386302,1,74560000,18.1271147417536,"Continental hot summer","008"
"42",-0.263178807523457,-0.0202049356464927,0.00618886444694755,386,4.47435255737283,4.53319264709514,6.50538044116637,1.5270686778277,-2.6,460,79.61666667,0.37472725,14,124148148.148148,18.6369861616168,"Continental cold/Tundra","132"
"43",-0.264390478309014,0.0585687528077167,0.0724794159446153,385,5.39195801254698,3.53852121397115,7.05122772716929,2.28199758011775,3.825,550,61.16666667,0.36369407,54,29142857.1428571,17.1877204370669,"Continental hot summer","086"
"44",-0.275004728674446,-0.0626650280546895,0.0440542837869319,383,4.10576875640491,3.23641019337405,5.98342280051609,1.9273473542177,-2.42,560,73.9,0.62326264,15,130844444.444444,18.6895197362453,"Continental cold/Tundra","131"
"45",0.01689584529134,-0.154504801581511,0.117888809469822,383,6.39418763447765,6.23842256438392,8.05934969958186,3.84749567590795,3.55,450,108.85,0.42302865,0,5219047.61904762,15.4678256863606,"Continental hot summer","181"
"46",-0.0793058456734448,-0.0306806294629514,-0.319928736611895,382,3.84536694126468,3.34045924625746,6.86426215611031,2.0380607957746,4.07,560,58.98333333,0.32698897,44,54720000,17.8177398495534,"Continental hot summer","088"
